,shot,uut,chan,rms,min,max,std,first_edge,last_edge,total_edges,jog_samples,run_samples,sprint_samples
8534,36,acq2106_223,39,0.3978972701684079,0.39725275431919727,0.39854320899394224,0.00015252317489612558,,,0,0,100000,0
8535,36,acq2106_223,40,0.4050302784593125,0.4043773779885669,0.4057998583339213,0.00015206608187259946,,,0,0,100000,0
8536,36,acq2106_223,41,0.39705479647325786,0.39641511953959707,0.3977103604847798,0.0001508853744720267,,,0,0,100000,0
8537,36,acq2106_223,42,0.42552087981843284,0.4248024017942953,0.4262269116807147,0.0001572426923625808,,,0,0,100000,0
8538,36,acq2106_223,43,0.38486136934538673,0.3841539727509371,0.3854471481972723,0.00014426536839853935,,,0,0,100000,0
8539,36,acq2106_223,44,0.4185403863236762,0.41789237006378244,0.4191871489856567,0.00014386901353003124,,,0,0,100000,0
8540,36,acq2106_223,45,0.4319159982853285,0.4312983728268591,0.4324610335570469,0.00014767626768560243,,,0,0,100000,0
8541,36,acq2106_223,46,0.4438319484856976,0.44318194210063666,0.44447257823776454,0.00015348454976799153,,,0,0,100000,0
8542,36,acq2106_223,47,0.4250352869326319,0.4244212111661909,0.4257143135619117,0.00015425243630693065,,,0,0,100000,0
8543,36,acq2106_223,48,0.4418571202615276,0.44112564041279256,0.44242029055021703,0.0001584611553156231,,,0,0,100000,0
8544,36,acq2106_224,1,0.9919828769107722,-1.0002553958911449,1.00264453724958,0.9919822805691639,9953,99954,9,0,100000,0
8545,36,acq2106_224,2,0.450344948318217,0.43384403914387804,0.46681892678316217,0.0010866546061502702,,,0,0,100000,0
8546,36,acq2106_224,3,0.445917946951494,0.4424747436423786,0.4495669916213956,0.0002527938417847667,,,0,0,100000,0
8547,36,acq2106_224,4,0.3979416509270269,0.3962792638631072,0.39950370270526037,0.00016466308787008057,,,0,0,100000,0
8548,36,acq2106_224,5,0.4267287905700321,0.42566569849441294,0.42785394392558374,0.00016563982875835746,,,0,0,100000,0
8549,36,acq2106_224,6,0.44795662940352265,0.44715437016566284,0.44882664032047614,0.00014555976171076428,,,0,0,100000,0
8550,36,acq2106_224,7,0.4136896817888742,0.41303982099634595,0.41445695945003536,0.00014157348547114574,,,0,0,100000,0
8551,36,acq2106_224,8,0.4550658093208168,0.45441103664052207,0.45582976427976973,0.0001612951902610875,,,0,0,100000,0
8552,36,acq2106_224,9,0.4039639893083401,0.40332649943229626,0.40462780576126534,0.0001606846204906409,,,0,0,100000,0
8553,36,acq2106_224,10,0.40481436266662213,0.404081294855132,0.4055136842398497,0.0001612777818048546,,,0,0,100000,0
8554,36,acq2106_224,11,0.40754939978730403,0.40686752006513416,0.40816720938528306,0.0001464517562882033,,,0,0,100000,0
8555,36,acq2106_224,12,0.44955089552139255,0.4489600778033491,0.45013199097593315,0.0001500352105967565,,,0,0,100000,0
8556,36,acq2106_224,13,0.38538616083470806,0.38478415933423094,0.38608489581019967,0.0001547393459206062,,,0,0,100000,0
8557,36,acq2106_224,14,0.4521272019045046,0.4514261535186961,0.4527232246582571,0.0001557667619015584,,,0,0,100000,0
8558,36,acq2106_224,15,0.44862148935200163,0.4479360805999022,0.44923594265128486,0.0001618304373867649,,,0,0,100000,0
8559,36,acq2106_224,16,0.44334027472498594,0.4426381597186264,0.4440721203609428,0.00016207507538468704,,,0,0,100000,0
8560,36,acq2106_224,17,0.4317252184167273,0.4309962052211631,0.43242253191419877,0.00015903708131234358,,,0,0,100000,0
8561,36,acq2106_224,18,0.434458200862147,0.43380707815958885,0.43510445619904203,0.00014957905312565294,,,0,0,100000,0
8562,36,acq2106_224,19,0.41674282626814,0.4161225828975148,0.4174160853253852,0.0001428372149951019,,,0,0,100000,0
8563,36,acq2106_224,20,0.38331304064637006,0.38266953118363745,0.38396519893649383,0.0001524742982979801,,,0,0,100000,0
8564,36,acq2106_224,21,0.43446945685193755,0.4339066725115117,0.4350717888773943,0.00015221161240603427,,,0,0,100000,0
8565,36,acq2106_224,22,0.41183054398248253,0.4110643056956178,0.4124856296875805,0.00015285021683967922,,,0,0,100000,0
8566,36,acq2106_224,23,0.43350474891549656,0.43285383550392,0.4341471963416552,0.00016011701393119104,,,0,0,100000,0
8567,36,acq2106_224,24,0.4539847353567982,0.45338609245663974,0.4546826349251205,0.00016294557643066414,,,0,0,100000,0
8568,36,acq2106_224,25,0.4165972332493561,0.41592365688848076,0.4172117112248088,0.00014995228307421532,,,0,0,100000,0
8569,36,acq2106_224,26,0.4522946815983832,0.4516581088973908,0.4529486792598618,0.0001494197770169392,,,0,0,100000,0
8570,36,acq2106_224,27,0.44418733404770566,0.4436324264315772,0.44479113784473157,0.00014569610221023852,,,0,0,100000,0
